"TRAN_ID","FUND","TRAN_TYPE","INVST_TYP","ASSET","QTY","PRICE","SENDER_ID","CCY","TRADE_DATE","SETTLE_DATE","TRAN_CODE","LOC","MSG_TYP","INVEST_MANAGER","PROCESS_GROUP"
"FTTB47C252","TP16","Security","41","DUMMY","1","1","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD9C74","TP16","Security","41","DUMMY","2","1.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD9FAF","TP16","Security","41","DUMMY","3","2","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHCPDWB","TSM2","Security","41","DUMMY","4","2.5","FAXSENDER","USD","2018-09-26","2018-09-26","BUY","DTC","MT541","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CDA5CE","TP16","Security","41","DUMMY","5","3","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT120C74D","TP16","Security","41","DUMMY","6","3.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSEGSHR","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CDC96A","TP16","Security","41","DUMMY","7","4","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CDCA84","TP16","Security","41","DUMMY","8","4.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSEGSHR","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47C7A7","TP16","Security","41","DUMMY","9","5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CDCD00","TP16","Security","41","DUMMY","10","5.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSEGSHR","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47CA60","TP16","Security","41","DUMMY","11","6","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47CB73","TP16","Security","41","DUMMY","12","6.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSEGSHR","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHH7F8K","TSM1","Derivative","41","DUMMY","13","7","FAXSENDER","USD","2018-09-26","2018-09-26","FUTTRADE","FED","UNKNOWN","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE09F2","TP16","Security","41","DUMMY","14","7.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSEGSHR","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHJCKC4","TSM1","Derivative","41","DUMMY","15","8","FAXSENDER","USD","2018-09-26","2018-09-26","FUTTRADE","FED","UNKNOWN","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE3153","TP16","Security","41","DUMMY","16","8.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE3158","TP16","Security","41","DUMMY","17","9","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSEGSHR","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHKU3S3","TSM1","Derivative","41","DUMMY","18","9.5","FAXSENDER","USD","2018-09-26","2018-09-26","FUTTRADE","FED","UNKNOWN","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHLBFUK","TSM1","Derivative","41","DUMMY","19","10","FAXSENDER","USD","2018-09-26","2018-09-26","FUTTRADE","FED","UNKNOWN","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHLJALZ","TSM1","Derivative","41","DUMMY","20","10.5","FAXSENDER","USD","2018-09-26","2018-09-26","FUTTRADE","FED","UNKNOWN","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHMDJRX","TSM1","Derivative","41","DUMMY","21","11","FAXSENDER","USD","2018-09-26","2018-09-26","FUTTRADE","FED","UNKNOWN","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHN4QHM","TSM1","Derivative","41","DUMMY","22","11.5","FAXSENDER","USD","2018-09-26","2018-09-26","FUTTRADE","FED","UNKNOWN","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE634B","TP16","Security","41","DUMMY","23","12","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
